Wall time,Step,Value
1680610202.954639,0,2.2883288860321045
1680610203.048657,0,2.2828118801116943
1680610203.8928406,0,2.243957042694092
1680610204.5229897,0,2.1744277477264404
1680610206.2333765,0,1.9374279975891113
1680610206.46543,0,2.046689510345459
1680610208.0597882,0,1.991731882095337
1680610208.1858172,0,2.0217056274414062
1680610208.7239382,0,1.8831686973571777
1680610209.2300527,0,1.9400674104690552
1680610210.288321,0,1.9507873058319092
1680610210.3483055,0,1.8358813524246216
1680610210.5923612,0,2.02274227142334
1680610213.7860818,1,1.899827241897583
1680610215.0243614,1,1.8237223625183105
1680610215.472463,1,1.8880491256713867
1680610217.475915,1,1.7561185359954834
1680610218.8814018,1,1.8899405002593994
1680610219.1112843,1,1.7941035032272339
1680610220.6976423,1,1.7618956565856934
1680610221.1277397,1,1.7874598503112793
1680610221.9239192,1,1.865187406539917
1680610223.362244,1,1.704872727394104
1680610223.6313052,1,1.6744829416275024
1680610225.2786775,1,1.8453688621520996
1680610225.74177,2,1.8431988954544067
1680610226.3099096,2,1.7870856523513794
1680610226.5119553,2,1.7453290224075317
1680610227.4491618,2,1.7114211320877075
1680610231.1129937,2,1.65425705909729
1680610231.986187,2,1.7580164670944214
1680610233.4315174,2,1.6834648847579956
1680610235.1789536,2,1.6535972356796265
1680610236.4582417,2,1.6869065761566162
1680610239.0537891,3,1.6447020769119263
1680610241.2672858,3,1.7473909854888916
1680610242.9196594,3,1.6624287366867065
1680610243.01168,3,1.660264492034912
1680610243.4397767,3,1.5257937908172607
1680610243.5628016,3,1.6030151844024658
1680610244.9111035,3,1.5614774227142334
1680610245.0971508,3,1.6383414268493652
1680610246.3524342,3,1.6452480554580688
1680610247.143613,3,1.7030134201049805
1680610248.6559546,3,1.6736029386520386
1680610249.444132,3,1.5753463506698608
1680610249.9072266,4,1.5457096099853516
1680610250.3373342,4,1.5668898820877075
1680610251.8626788,4,1.5548490285873413
1680610253.2039807,4,1.5598678588867188
1680610253.7271276,4,1.6447478532791138
1680610254.0042148,4,1.6100534200668335
1680610254.5132768,4,1.5446951389312744
1680610254.6142995,4,1.7717349529266357
1680610255.7925658,4,1.5625146627426147
1680610257.5129547,4,1.751513123512268
1680610258.1721332,4,1.7657246589660645
1680610258.272118,4,1.496259331703186
1680610258.5171812,4,1.5442004203796387
1680610259.6544373,4,1.5638728141784668
1680610260.1205711,4,1.6940996646881104
1680610260.4776237,4,1.6898301839828491
1680610262.970186,5,1.3916599750518799
1680610264.6755714,5,1.5147099494934082
1680610267.2701569,5,1.5327495336532593
1680610267.5912268,5,1.562746286392212
1680610268.4764276,5,1.3717169761657715
1680610268.6404662,5,1.6048288345336914
1680610269.2336006,5,1.7120356559753418
1680610269.3876264,5,1.696105718612671
1680610270.6079109,5,1.450351357460022
1680610270.922972,5,1.4403492212295532
1680610271.870186,6,1.4470336437225342
1680610272.822408,6,1.5093400478363037
1680610272.8504167,6,1.4845669269561768
1680610274.0916977,6,1.5078364610671997
1680610274.5277963,6,1.5920367240905762
1680610274.58181,6,1.5877519845962524
1680610274.7098372,6,1.4635016918182373
1680610275.3749866,6,1.4727413654327393
1680610275.404994,6,1.5372211933135986
1680610275.7680757,6,1.4713996648788452
1680610275.9201148,6,1.4984841346740723
1680610276.8123114,6,1.6534727811813354
1680610277.257412,6,1.5899229049682617
1680610277.4134476,6,1.7193177938461304
1680610281.0612707,6,1.5057463645935059
1680610282.5518608,7,1.5058709383010864
1680610283.8571641,7,1.412833333015442
1680610286.7908287,7,1.424554467201233
1680610288.7424831,7,1.6016099452972412
1680610290.6757073,7,1.4001672267913818
1680610290.767724,7,1.5061895847320557
1680610292.3530843,7,1.5060919523239136
1680610294.1716642,8,1.4638471603393555
1680610296.1079297,8,1.5374855995178223
1680610296.48502,8,1.4062392711639404
1680610296.5380275,8,1.5284006595611572
1680610296.5660334,8,1.6075435876846313
1680610298.085381,8,1.461776614189148
1680610302.871449,8,1.672127604484558
1680610306.0741825,9,1.3822015523910522
1680610306.5532885,9,1.3536350727081299
1680610306.6083002,9,1.3566465377807617
1680610307.992616,9,1.6372287273406982
1680610309.964061,9,1.4433479309082031
1680610311.5744243,9,1.4254275560379028
1680610312.2325733,9,1.4558697938919067
1680610312.4526231,9,1.4919768571853638
1680610315.8603928,10,1.3257246017456055
1680610316.7708497,10,1.384963035583496
1680610317.6887941,10,1.5025415420532227
1680610319.4022176,10,1.497854232788086
1680610321.4606566,10,1.5390375852584839
1680610324.7473986,10,1.5104628801345825
1680610325.7926345,10,1.4099527597427368
1680610325.9606726,10,1.3497763872146606
1680610328.38721,11,1.603676676750183
1680610328.8263104,11,1.4595811367034912
1680610328.8933346,11,1.41420578956604
1680610331.622951,11,1.4780515432357788
1680610334.7226481,11,1.4978013038635254
1680610335.2967803,11,1.6407811641693115
1680610336.0059404,11,1.3108881711959839
1680610339.3076859,11,1.4275673627853394
1680610340.5209603,11,1.6357722282409668
1680610340.65606,11,1.3309444189071655
1680610340.9250488,11,1.3388031721115112
1680610344.7089052,12,1.3248720169067383
1680610345.1813102,12,1.4931132793426514
1680610346.5333173,12,1.3899344205856323
1680610346.8833947,12,1.4824576377868652
1680610348.0436556,12,1.3502637147903442
1680610349.9190824,12,1.3166875839233398
1680610350.17314,12,1.3887138366699219
1680610350.2531586,12,1.370744228363037
1680610352.3366249,12,1.339853286743164
1680610352.39064,12,1.4932955503463745
1680610353.8759756,13,1.4032622575759888
1680610354.6512156,13,1.2442623376846313
1680610357.5227969,13,1.3856182098388672
1680610360.031367,13,1.4407401084899902
1680610360.5014713,13,1.4712436199188232
1680610360.936569,13,1.2272539138793945
1680610362.8589923,13,1.3743702173233032
1680610365.9807081,14,1.4081456661224365
1680610367.0261467,14,1.4442532062530518
1680610370.8338044,14,1.313217282295227
1680610371.338087,14,1.393157720565796
1680610372.696226,14,1.3251973390579224
1680610374.8477,14,1.3023761510849
1680610375.3071895,14,1.377240777015686
1680610375.386209,14,1.3705873489379883
1680610376.3703122,14,1.186095952987671
1680610376.564356,15,1.282361626625061
1680610377.5205839,15,1.2551391124725342
1680610378.0787067,15,1.4720178842544556
1680610379.7460833,15,1.5310040712356567
1680610380.2862067,15,1.3741962909698486
1680610383.3999107,15,1.2459009885787964
1680610383.7129812,15,1.3280773162841797
1680610385.9014754,15,1.3652117252349854
1680610386.3215702,15,1.340511441230774
1680610386.5146043,15,1.4415154457092285
1680610386.950712,15,1.3920972347259521
