Wall time,Step,Value
1680609026.13814,0,2.305748701095581
1680609026.2071633,0,2.3032617568969727
1680609026.8813148,0,2.298701047897339
1680609027.5244598,0,2.3034231662750244
1680609029.470899,0,2.307260751724243
1680609029.7469614,0,2.3047256469726562
1680609031.763418,0,2.300426721572876
1680609031.9254537,0,2.2994027137756348
1680609032.6316023,0,2.303584575653076
1680609033.2537422,0,2.3106255531311035
1680609034.557041,0,2.311418294906616
1680609034.6340547,0,2.3001363277435303
1680609034.9331217,0,2.309058904647827
1680609038.6519723,1,2.3004889488220215
1680609039.9962654,1,2.2994179725646973
1680609040.4783845,1,2.3016538619995117
1680609042.659875,1,2.304638147354126
1680609044.1542041,1,2.298137664794922
1680609044.3892674,1,2.3046576976776123
1680609045.9976308,1,2.3057167530059814
1680609046.4297283,1,2.2990996837615967
1680609047.2289085,1,2.297215461730957
1680609048.669234,1,2.301448345184326
1680609048.937285,1,2.300264835357666
1680609050.6006594,1,2.3033056259155273
1680609051.0857687,2,2.3017163276672363
1680609051.6859045,2,2.29885196685791
1680609051.900965,2,2.3040404319763184
1680609052.8851757,2,2.2984445095062256
1680609056.5410109,2,2.3031132221221924
1680609057.438211,2,2.3028342723846436
1680609058.9155476,2,2.3009281158447266
1680609060.6479383,2,2.3020360469818115
1680609061.9832358,2,2.3012442588806152
1680609064.6188247,3,2.2985706329345703
1680609067.3214452,3,2.3038828372955322
1680609069.1938589,3,2.305866003036499
1680609069.2968912,3,2.300395965576172
1680609069.764025,3,2.307945966720581
1680609069.9000256,3,2.297609567642212
1680609071.506939,3,2.3069770336151123
1680609071.7244396,3,2.304443120956421
1680609072.9057088,3,2.298985481262207
1680609073.6128678,3,2.3053269386291504
1680609075.1752157,3,2.301555633544922
1680609075.9423935,3,2.2981832027435303
1680609076.3754795,4,2.3024587631225586
1680609076.801579,4,2.303203582763672
1680609078.128886,4,2.3037848472595215
1680609079.586205,4,2.3085525035858154
1680609080.1083298,4,2.303072929382324
1680609080.3703823,4,2.3023500442504883
1680609080.8414876,4,2.3015737533569336
1680609080.9365087,4,2.3005917072296143
1680609082.2278116,4,2.3009424209594727
1680609083.7331533,4,2.30202317237854
1680609084.3412886,4,2.2996366024017334
1680609084.4202995,4,2.296461820602417
1680609084.6163478,4,2.2947022914886475
1680609085.559564,4,2.3079168796539307
1680609085.9636524,4,2.3070313930511475
1680609086.2967293,4,2.30391001701355
1680609088.479212,5,2.30316424369812
1680609090.0175707,5,2.303126335144043
1680609092.603211,5,2.3039565086364746
1680609092.964235,5,2.307776689529419
1680609093.945454,5,2.304229497909546
1680609094.1314983,5,2.3065459728240967
1680609094.7536905,5,2.298393964767456
1680609094.9076736,5,2.3013625144958496
1680609096.3239832,5,2.3097405433654785
1680609096.7070966,5,2.3044321537017822
1680609097.8273325,6,2.3069663047790527
1680609098.9585884,6,2.3056063652038574
1680609098.9905956,6,2.3036885261535645
1680609100.4979355,6,2.3020710945129395
1680609101.0565228,6,2.3012173175811768
1680609101.1231878,6,2.300372838973999
1680609101.290112,6,2.2996490001678467
1680609102.125303,6,2.3030099868774414
1680609102.1583107,6,2.299304485321045
1680609102.5559263,6,2.306938648223877
1680609102.7229698,6,2.3023884296417236
1680609103.6891825,6,2.3023605346679688
1680609104.1912866,6,2.300598382949829
1680609104.3893404,6,2.301949977874756
1680609108.7873304,6,2.302966356277466
1680609110.6217368,7,2.2989931106567383
1680609112.2521157,7,2.3038907051086426
1680609115.8179207,7,2.304755210876465
1680609118.184455,7,2.3022007942199707
1680609120.5499914,7,2.3057188987731934
1680609120.6500115,7,2.307124376296997
1680609122.5834484,7,2.302063226699829
1680609124.642913,8,2.3049144744873047
1680609126.9414322,8,2.307715654373169
1680609127.4085271,8,2.300043821334839
1680609127.4745524,8,2.301417350769043
1680609127.5395641,8,2.3017618656158447
1680609129.1859355,8,2.2971267700195312
1680609133.83999,8,2.311537504196167
1680609137.338704,9,2.3024377822875977
1680609137.8948321,9,2.304844617843628
